# Copyright 2019 Maxence Thevenet
#
# This file is part of WarpX.
#
# License: BSD-3-Clause-LBNL

# Reference:
# Kramida, A., Ralchenko, Yu., Reader, J., and NIST ASD Team (2014).
# NIST Atomic Spectra Database (ver. 5.2), [Online].
# Available: http://physics.nist.gov/asd [2017, March 3].

# License (from https://www.nist.gov/director/licensing):
# This data was developed by employees of the National Institute of Standards
# and Technology (NIST), an agency of the Federal Government. Pursuant to title
# 17 United States Code Section 105, works of NIST employees are not subject to
# copyright protection in the United States and are considered to be in the
# public domain.
# The data is provided by NIST as a public service and is expressly provided
# "AS IS." NIST MAKES NO WARRANTY OF ANY KIND, EXPRESS, IMPLIED OR STATUTORY,
# INCLUDING, WITHOUT LIMITATION, THE IMPLIED WARRANTY OF MERCHANTABILITY,
# FITNESS FOR A PARTICULAR PURPOSE, NON-INFRINGEMENT AND DATA ACCURACY. NIST
# does not warrant or make any representations regarding the use of the data or
# the results thereof, including but not limited to the correctness, accuracy,
# reliability or usefulness of the data. NIST SHALL NOT BE LIABLE AND YOU
# HEREBY RELEASE NIST FROM LIABILITY FOR ANY INDIRECT, CONSEQUENTIAL, SPECIAL,
# OR INCIDENTAL DAMAGES (INCLUDING DAMAGES FOR LOSS OF BUSINESS PROFITS,
# BUSINESS INTERRUPTION, LOSS OF BUSINESS INFORMATION, AND THE LIKE), WHETHER
# ARISING IN TORT, CONTRACT, OR OTHERWISE, ARISING FROM OR RELATING TO THE DATA
# (OR THE USE OF OR INABILITY TO USE THIS DATA), EVEN IF NIST HAS BEEN ADVISED
# OF THE POSSIBILITY OF SUCH DAMAGES.
# To the extent that NIST may hold copyright in countries other than the United
# States, you are hereby granted the non-exclusive irrevocable and unconditional
# right to print, publish, prepare derivative works and distribute the NIST
# data, in any medium, or authorize others to do so on your behalf, on a
# royalty-free basis throughout the world.
# You may improve, modify, and create derivative works of the data or any
# portion of the data, and you may copy and distribute such modifications or
# works. Modified works should carry a notice stating that you changed the data
# and should note the date and nature of any such change. Please explicitly
# acknowledge the National Institute of Standards and Technology as the source
# of the data: Data citation recommendations are provided below.
# Permission to use this data is contingent upon your acceptance of the terms
# of this agreement and upon your providing appropriate acknowledgments of
# NIST's creation of the data.

-----------------------------------------------------------------------------
At. num | Sp. Name      | Ion Charge |        Ionization Energy (eV)        |
     30 | Zn XXIV       |        +23 |         [2214]                       |
     30 | Zn XXV        |        +24 |         [2358.0]                     |
     30 | Zn XXVI       |        +25 |         [2491.5]                     |
     30 | Zn XXVII      |        +26 |         [2669.9]                     |
     30 | Zn XXVIII     |        +27 |         (2781.996)                   |
     30 | Zn XXIX       |        +28 |        (11864.9399)                  |
     30 | Zn XXX        |        +29 |        (12388.9427)                  |
     31 | Ga I          |          0 |             5.9993020                |
     31 | Ga II         |         +1 |            20.51514                  |
     31 | Ga III        |         +2 |            30.72576                  |
     31 | Ga IV         |         +3 |            63.241                    |
     31 | Ga V          |         +4 |           [86.01]                    |
     31 | Ga VI         |         +5 |          (112.7)                     |
     31 | Ga VII        |         +6 |          (140.8)                     |
     31 | Ga VIII       |         +7 |          (169.9)                     |
     31 | Ga IX         |         +8 |          (211.0)                     |
     31 | Ga X          |         +9 |          (244.0)                     |
     31 | Ga XI         |        +10 |          (280.0)                     |
     31 | Ga XII        |        +11 |          (319.0)                     |
     31 | Ga XIII       |        +12 |          (356)                       |
     31 | Ga XIV        |        +13 |          [471.2]                     |
     31 | Ga XV         |        +14 |          [508.8]                     |
     31 | Ga XVI        |        +15 |          [548.3]                     |
     31 | Ga XVII       |        +16 |          [599.8]                     |
     31 | Ga XVIII      |        +17 |          [640.0]                     |
     31 | Ga XIX        |        +18 |          [677]                       |
     31 | Ga XX         |        +19 |          [765.7]                     |
     31 | Ga XXI        |        +20 |          [807.308]                   |
     31 | Ga XXII       |        +21 |         [2010.0]                     |
     31 | Ga XXIII      |        +22 |         [2129]                       |
     31 | Ga XXIV       |        +23 |         [2258]                       |
     31 | Ga XXV        |        +24 |         [2391]                       |
     31 | Ga XXVI       |        +25 |         [2543.9]                     |
     31 | Ga XXVII      |        +26 |         [2683.0]                     |
     31 | Ga XXVIII     |        +27 |         [2868]                       |
     31 | Ga XXIX       |        +28 |         (2984.426)                   |
     31 | Ga XXX        |        +29 |        (12696.5575)                  |
     31 | Ga XXXI       |        +30 |        (13239.5029)                  |
     32 | Ge I          |          0 |             7.899435                 |
     32 | Ge II         |         +1 |            15.934610                 |
     32 | Ge III        |         +2 |            34.0576                   |
     32 | Ge IV         |         +3 |            45.7155                   |
     32 | Ge V          |         +4 |            90.500                    |
     32 | Ge VI         |         +5 |          [115.90]                    |
     32 | Ge VII        |         +6 |          (144.9)                     |
     32 | Ge VIII       |         +7 |          (176.4)                     |
     32 | Ge IX         |         +8 |          (212.5)                     |
     32 | Ge X          |         +9 |          (252.1)                     |
     32 | Ge XI         |        +10 |          (286)                       |
     32 | Ge XII        |        +11 |          (326.0)                     |
     32 | Ge XIII       |        +12 |          (367)                       |
     32 | Ge XIV        |        +13 |          (407)                       |
     32 | Ge XV         |        +14 |          [527.9]                     |
     32 | Ge XVI        |        +15 |          [567.3]                     |
     32 | Ge XVII       |        +16 |          [609.1]                     |
     32 | Ge XVIII      |        +17 |          [662.8]                     |
     32 | Ge XIX        |        +18 |          [706.7]                     |
     32 | Ge XX         |        +19 |          [744]                       |
     32 | Ge XXI        |        +20 |          [837.1]                     |
     32 | Ge XXII       |        +21 |          [880.44]                    |
     32 | Ge XXIII      |        +22 |          2178.2                      |
     32 | Ge XXIV       |        +23 |         [2304]                       |
     32 | Ge XXV        |        +24 |         [2439]                       |
     32 | Ge XXVI       |        +25 |         [2575]                       |
     32 | Ge XXVII      |        +26 |         [2737.1]                     |
     32 | Ge XXVIII     |        +27 |         [2881.9]                     |
     32 | Ge XXIX       |        +28 |         [3074]                       |
     32 | Ge XXX        |        +29 |         (3194.293)                   |
     32 | Ge XXXI       |        +30 |        (13557.4208)                  |
     32 | Ge XXXII      |        +31 |        (14119.4457)                  |
     33 | As I          |          0 |             9.78855                  |
     33 | As II         |         +1 |            18.5892                   |
     33 | As III        |         +2 |            28.349                    |
     33 | As IV         |         +3 |            50.15                     |
     33 | As V          |         +4 |            62.77                     |
     33 | As VI         |         +5 |           121.19                     |
     33 | As VII        |         +6 |          (147.0)                     |
     33 | As VIII       |         +7 |          (180.0)                     |
     33 | As IX         |         +8 |          (213.0)                     |
     33 | As X          |         +9 |          (247.0)                     |
     33 | As XI         |        +10 |          (296.0)                     |
     33 | As XII        |        +11 |          (333.0)                     |
     33 | As XIII       |        +12 |          (375)                       |
     33 | As XIV        |        +13 |          (418)                       |
     33 | As XV         |        +14 |          (460)                       |
     33 | As XVI        |        +15 |          [587.6]                     |
     33 | As XVII       |        +16 |          [628.8]                     |
     33 | As XVIII      |        +17 |          [672.9]                     |
     33 | As XIX        |        +18 |          [728.9]                     |
     33 | As XX         |        +19 |          [774.0]                     |
     33 | As XXI        |        +20 |          [814]                       |
     33 | As XXII       |        +21 |          [911.7]                     |
     33 | As XXIII      |        +22 |          [956.79]                    |
     33 | As XXIV       |        +23 |         [2356.9]                     |
     33 | As XXV        |        +24 |         [2486]                       |
     33 | As XXVI       |        +25 |         [2626]                       |
     33 | As XXVII      |        +26 |         [2766]                       |
     33 | As XXVIII     |        +27 |         [2938]                       |
     33 | As XXIX       |        +28 |         [3088.1]                     |
     33 | As XXX        |        +29 |         [3287]                       |
     33 | As XXXI       |        +30 |         (3411.643)                   |
     33 | As XXXII      |        +31 |        (14447.678)                   |
     33 | As XXXIII     |        +32 |        (15028.9251)                  |
     34 | Se I          |          0 |             9.752368                 |
     34 | Se II         |         +1 |            21.196                    |
     34 | Se III        |         +2 |            31.697                    |
     34 | Se IV         |         +3 |            42.947                    |
     34 | Se V          |         +4 |           [68.30]                    |
     34 | Se VI         |         +5 |            81.83                     |
     34 | Se VII        |         +6 |           155.327                    |
     34 | Se VIII       |         +7 |          (184.0)                     |
     34 | Se IX         |         +8 |          (219.0)                     |
     34 | Se X          |         +9 |          (255.0)                     |
     34 | Se XI         |        +10 |          (291.0)                     |
     34 | Se XII        |        +11 |          (342.9)                     |
     34 | Se XIII       |        +12 |          (383)                       |
     34 | Se XIV        |        +13 |          (426)                       |
     34 | Se XV         |        +14 |          (473)                       |
     34 | Se XVI        |        +15 |          (517)                       |
     34 | Se XVII       |        +16 |          [650.5]                     |
     34 | Se XVIII      |        +17 |          [693.4]                     |
     34 | Se XIX        |        +18 |          [739.8]                     |
     34 | Se XX         |        +19 |          [798]                       |
     34 | Se XXI        |        +20 |          [845.8]                     |
     34 | Se XXII       |        +21 |          [887]                       |
     34 | Se XXIII      |        +22 |          [989.6]                     |
     34 | Se XXIV       |        +23 |         [1036.36]                    |
     34 | Se XXV        |        +24 |         [2540.7]                     |
     34 | Se XXVI       |        +25 |         [2674]                       |
     34 | Se XXVII      |        +26 |         [2820]                       |
     34 | Se XXVIII     |        +27 |         [2964]                       |
     34 | Se XXIX       |        +28 |         [3146]                       |
     34 | Se XXX        |        +29 |         [3301.8]                     |
     34 | Se XXXI       |        +30 |         [3507]                       |
     34 | Se XXXII      |        +31 |         (3636.526)                   |
     34 | Se XXXIII     |        +32 |        (15367.491)                   |
     34 | Se XXXIV      |        +33 |        (15968.1075)                  |
     35 | Br I          |          0 |            11.81381                  |
     35 | Br II         |         +1 |            21.591                    |
     35 | Br III        |         +2 |            34.871                    |
     35 | Br IV         |         +3 |            47.782                    |
     35 | Br V          |         +4 |            59.595                    |
     35 | Br VI         |         +5 |            87.390                    |
     35 | Br VII        |         +6 |          [103.03]                    |
     35 | Br VIII       |         +7 |           192.61                     |
     35 | Br IX         |         +8 |          (224.0)                     |
     35 | Br X          |         +9 |          (261.0)                     |
     35 | Br XI         |        +10 |          (301.0)                     |
     35 | Br XII        |        +11 |          (338.0)                     |
     35 | Br XIII       |        +12 |          (393)                       |
     35 | Br XIV        |        +13 |          (436)                       |
     35 | Br XV         |        +14 |          (481)                       |
     35 | Br XVI        |        +15 |          (530)                       |
     35 | Br XVII       |        +16 |          (577)                       |
     35 | Br XVIII      |        +17 |          [716.3]                     |
     35 | Br XIX        |        +18 |          [761.0]                     |
     35 | Br XX         |        +19 |          [809.8]                     |
     35 | Br XXI        |        +20 |          [870]                       |
     35 | Br XXII       |        +21 |          [920.8]                     |
     35 | Br XXIII      |        +22 |          [963]                       |
     35 | Br XXIV       |        +23 |         [1070.6]                     |
     35 | Br XXV        |        +24 |         [1119.17]                    |
     35 | Br XXVI       |        +25 |         [2731.4]                     |
     35 | Br XXVII      |        +26 |         [2869]                       |
     35 | Br XXVIII     |        +27 |         [3021]                       |
     35 | Br XXIX       |        +28 |         [3169]                       |
     35 | Br XXX        |        +29 |         [3361]                       |
     35 | Br XXXI       |        +30 |         [3523.1]                     |
     35 | Br XXXII      |        +31 |         [3735]                       |
     35 | Br XXXIII     |        +32 |         (3868.986)                   |
     35 | Br XXXIV      |        +33 |        (16317.011)                   |
     35 | Br XXXV       |        +34 |        (16937.1497)                  |
     36 | Kr I          |          0 |           13.9996053                 |
     36 | Kr II         |         +1 |           24.35984                   |
     36 | Kr III        |         +2 |           35.838                     |
     36 | Kr IV         |         +3 |           50.85                      |
     36 | Kr V          |         +4 |          [64.69]                     |
     36 | Kr VI         |         +5 |          [78.49]                     |
     36 | Kr VII        |         +6 |         (109.13)                     |
     36 | Kr VIII       |         +7 |          125.802                     |
     36 | Kr IX         |         +8 |         [233.0]                      |
     36 | Kr X          |         +9 |         (268)                        |
     36 | Kr XI         |        +10 |         (308)                        |
     36 | Kr XII        |        +11 |         (350)                        |
     36 | Kr XIII       |        +12 |         (391)                        |
     36 | Kr XIV        |        +13 |         (446)                        |
     36 | Kr XV         |        +14 |         (492)                        |
     36 | Kr XVI        |        +15 |         (540)                        |
     36 | Kr XVII       |        +16 |         (591)                        |
     36 | Kr XVIII      |        +17 |         (640)                        |
     36 | Kr XIX        |        +18 |         [785]                        |
     36 | Kr XX         |        +19 |         [831.6]                      |
     36 | Kr XXI        |        +20 |         [882.8]                      |
     36 | Kr XXII       |        +21 |         [945]                        |
     36 | Kr XXIII      |        +22 |         [999.0]                      |
     36 | Kr XXIV       |        +23 |        [1042]                        |
     36 | Kr XXV        |        +24 |        [1155.0]                      |
     36 | Kr XXVI       |        +25 |        [1205.23]                     |
     36 | Kr XXVII      |        +26 |        [2928.9]                      |
     36 | Kr XXVIII     |        +27 |        [3072]                        |
     36 | Kr XXIX       |        +28 |        [3228]                        |
     36 | Kr XXX        |        +29 |        [3380]                        |
     36 | Kr XXXI       |        +30 |        [3584]                        |
     36 | Kr XXXII      |        +31 |        [3752.0]                      |
     36 | Kr XXXIII     |        +32 |        [3971]                        |
     36 | Kr XXXIV      |        +33 |        (4109.083)                    |
     36 | Kr XXXV       |        +34 |       (17296.420)                    |
     36 | Kr XXXVI      |        +35 |       (17936.209)                    |
     37 | Rb I          |          0 |            4.1771280                 |
     37 | Rb II         |         +1 |           27.28954                   |
     37 | Rb III        |         +2 |          [39.247]                    |
     37 | Rb IV         |         +3 |          [52.20]                     |
     37 | Rb V          |         +4 |          (68.44)                     |
     37 | Rb VI         |         +5 |          (82.9)                      |
     37 | Rb VII        |         +6 |          [98.67]                     |
     37 | Rb VIII       |         +7 |         [132.79]                     |
     37 | Rb IX         |         +8 |          150.628                     |
     37 | Rb X          |         +9 |          277.12                      |
     37 | Rb XI         |        +10 |         (313.1)                      |
     37 | Rb XII        |        +11 |         (356.0)                      |
     37 | Rb XIII       |        +12 |         (400)                        |
     37 | Rb XIV        |        +13 |         (443)                        |
     37 | Rb XV         |        +14 |         (502)                        |
     37 | Rb XVI        |        +15 |         (550)                        |
     37 | Rb XVII       |        +16 |         (601)                        |
     37 | Rb XVIII      |        +17 |         (654)                        |
     37 | Rb XIX        |        +18 |         (706.0)                      |
     37 | Rb XX         |        +19 |         [857]                        |
     37 | Rb XXI        |        +20 |         [905.3]                      |
     37 | Rb XXII       |        +21 |         [958.9]                      |
     37 | Rb XXIII      |        +22 |        [1024]                        |
     37 | Rb XXIV       |        +23 |        [1080]                        |
     37 | Rb XXV        |        +24 |        [1125]                        |
     37 | Rb XXVI       |        +25 |        [1242.5]                      |
     37 | Rb XXVII      |        +26 |        [1294.57]                     |
     37 | Rb XXVIII     |        +27 |        [3133.3]                      |
     37 | Rb XXIX       |        +28 |        [3281]                        |
     37 | Rb XXX        |        +29 |        [3443]                        |
     37 | Rb XXXI       |        +30 |        [3600]                        |
     37 | Rb XXXII      |        +31 |        [3815]                        |
     37 | Rb XXXIII     |        +32 |        [3988]                        |
     37 | Rb XXXIV      |        +33 |        [4214]                        |
     37 | Rb XXXV       |        +34 |        (4356.865)                    |
     37 | Rb XXXVI      |        +35 |       (18305.884)                    |
     37 | Rb XXXVII     |        +36 |       (18965.516)                    |
     54 | Xe I          |          0 |           12.1298436                 |
     54 | Xe II         |         +1 |          [20.975]                    |
     54 | Xe III        |         +2 |          [31.05]                     |
     54 | Xe IV         |         +3 |           42.20                      |
     54 | Xe V          |         +4 |          [54.1]                      |
     54 | Xe VI         |         +5 |           66.703                     |
     54 | Xe VII        |         +6 |          [91.6]                      |
     54 | Xe VIII       |         +7 |          105.9778                    |
     54 | Xe IX         |         +8 |          179.84                      |
     54 | Xe X          |         +9 |         (202.0)                      |
     54 | Xe XI         |        +10 |         [229.02]                     |
     54 | Xe XII        |        +11 |         (255.0)                      |
     54 | Xe XIII       |        +12 |         (281)                        |
     54 | Xe XIV        |        +13 |         (314)                        |
     54 | Xe XV         |        +14 |         (343)                        |
     54 | Xe XVI        |        +15 |         (374)                        |
     54 | Xe XVII       |        +16 |         (404)                        |
     54 | Xe XVIII      |        +17 |         (434)                        |
     54 | Xe XIX        |        +18 |         (549)                        |
     54 | Xe XX         |        +19 |         (582)                        |
     54 | Xe XXI        |        +20 |         (616)                        |
     54 | Xe XXII       |        +21 |         (650)                        |
     54 | Xe XXIII      |        +22 |         (700)                        |
     54 | Xe XXIV       |        +23 |         (736)                        |
     54 | Xe XXV        |        +24 |         (818)                        |
     54 | Xe XXVI       |        +25 |         [857.0]                      |
     54 | Xe XXVII      |        +26 |        (1493)                        |
     54 | Xe XXVIII     |        +27 |        (1571)                        |
     54 | Xe XXIX       |        +28 |        (1653)                        |
     54 | Xe XXX        |        +29 |        (1742)                        |
     54 | Xe XXXI       |        +30 |        (1826)                        |
     54 | Xe XXXII      |        +31 |        (1919)                        |
     54 | Xe XXXIII     |        +32 |        (2023)                        |
     54 | Xe XXXIV      |        +33 |        (2113)                        |
     54 | Xe XXXV       |        +34 |        (2209)                        |
     54 | Xe XXXVI      |        +35 |        (2300)                        |
     54 | Xe XXXVII     |        +36 |        (2556)                        |
     54 | Xe XXXVIII    |        +37 |        (2637)                        |
     54 | Xe XXXIX      |        +38 |        (2726)                        |
     54 | Xe XL         |        +39 |        (2811)                        |
     54 | Xe XLI        |        +40 |        (2975)                        |
     54 | Xe XLII       |        +41 |        (3068)                        |
     54 | Xe XLIII      |        +42 |        (3243)                        |
     54 | Xe XLIV       |        +43 |        [3333.8]                      |
     54 | Xe XLV        |        +44 |        (7660)                        |
     54 | Xe XLVI       |        +45 |        (7889)                        |
     54 | Xe XLVII      |        +46 |        (8144)                        |
     54 | Xe XLVIII     |        +47 |        (8382)                        |
     54 | Xe XLIX       |        +48 |        (8971)                        |
     54 | Xe L          |        +49 |        (9243)                        |
     54 | Xe LI         |        +50 |        (9581)                        |
     54 | Xe LII        |        +51 |        (9810.37)                     |
     54 | Xe LIII       |        +52 |       (40271.724)                    |
     54 | Xe LIV        |        +53 |       (41299.71)                     |
     38 | Sr I          |          0 |            5.69486745                |
     38 | Sr II         |         +1 |           11.0302765                 |
     38 | Sr III        |         +2 |           42.88353                   |
     38 | Sr IV         |         +3 |          [56.280]                    |
     38 | Sr V          |         +4 |          [70.7]                      |
     38 | Sr VI         |         +5 |          (88.0)                      |
     38 | Sr VII        |         +6 |         (104.0)                      |
     38 | Sr VIII       |         +7 |         [121.21]                     |
     38 | Sr IX         |         +8 |         [158.33]                     |
     38 | Sr X          |         +9 |          177.30                      |
     38 | Sr XI         |        +10 |          324.07                      |
     38 | Sr XII        |        +11 |         (362.0)                      |
     38 | Sr XIII       |        +12 |         (408)                        |
     38 | Sr XIV        |        +13 |         (454)                        |
     38 | Sr XV         |        +14 |         (499)                        |
     38 | Sr XVI        |        +15 |         (562)                        |
     38 | Sr XVII       |        +16 |         (612)                        |
     38 | Sr XVIII      |        +17 |         (665)                        |
     38 | Sr XIX        |        +18 |         (722)                        |
     38 | Sr XX         |        +19 |         (774)                        |
     38 | Sr XXI        |        +20 |         [932]                        |
     38 | Sr XXII       |        +21 |         [982.1]                      |
     38 | Sr XXIII      |        +22 |        [1038.0]                      |
     38 | Sr XXIV       |        +23 |        [1105]                        |
     38 | Sr XXV        |        +24 |        [1165]                        |
     38 | Sr XXVI       |        +25 |        [1211]                        |
     38 | Sr XXVII      |        +26 |        [1333.4]                      |
     38 | Sr XXVIII     |        +27 |        [1387.19]                     |
     38 | Sr XXIX       |        +28 |        [3344.7]                      |
     38 | Sr XXX        |        +29 |        [3497]                        |
     38 | Sr XXXI       |        +30 |        [3664]                        |
     38 | Sr XXXII      |        +31 |        [3830]                        |
     38 | Sr XXXIII     |        +32 |        [4053]                        |
     38 | Sr XXXIV      |        +33 |        [4232]                        |
     38 | Sr XXXV       |        +34 |        [4465]                        |
     38 | Sr XXXVI      |        +35 |        (4612.397)                    |
     38 | Sr XXXVII     |        +36 |       (19345.588)                    |
     38 | Sr XXXVIII    |        +37 |       (20025.2673)                   |
     39 | Y I           |          0 |            6.21726                   |
     39 | Y II          |         +1 |           12.2236                    |
     39 | Y III         |         +2 |           20.52441                   |
     39 | Y IV          |         +3 |          [60.6072]                   |
     39 | Y V           |         +4 |           75.35                      |
     39 | Y VI          |         +5 |          [91.390]                    |
     39 | Y VII         |         +6 |         [110.02]                     |
     39 | Y VIII        |         +7 |         [128.12]                     |
     39 | Y IX          |         +8 |         [145.64]                     |
     39 | Y X           |         +9 |         [185.7]                      |
     39 | Y XI          |        +10 |          205.814                     |
     39 | Y XII         |        +11 |          374.04                      |
     39 | Y XIII        |        +12 |         (414)                        |
     39 | Y XIV         |        +13 |         (463)                        |
     39 | Y XV          |        +14 |         (512)                        |
     39 | Y XVI         |        +15 |         (559)                        |
     39 | Y XVII        |        +16 |         (624)                        |
     39 | Y XVIII       |        +17 |         (677)                        |
     39 | Y XIX         |        +18 |         (733)                        |
     39 | Y XX          |        +19 |         (790)                        |
     39 | Y XXI         |        +20 |         (847)                        |
     39 | Y XXII        |        +21 |        [1010]                        |
     39 | Y XXIII       |        +22 |        [1061.9]                      |
     39 | Y XXIV        |        +23 |        [1120.2]                      |
     39 | Y XXV         |        +24 |        [1190]                        |
     39 | Y XXVI        |        +25 |        [1253]                        |
     39 | Y XXVII       |        +26 |        [1300]                        |
     39 | Y XXVIII      |        +27 |        [1427.6]                      |
     39 | Y XXIX        |        +28 |        [1483.12]                     |
     39 | Y XXX         |        +29 |        [3562.9]                      |
     39 | Y XXXI        |        +30 |        [3720]                        |
     39 | Y XXXII       |        +31 |        [3892]                        |
     39 | Y XXXIII      |        +32 |        [4060]                        |
     39 | Y XXXIV       |        +33 |        [4299]                        |
     39 | Y XXXV        |        +34 |        [4484]                        |
     39 | Y XXXVI       |        +35 |        [4724]                        |
     39 | Y XXXVII      |        +36 |        (4875.731)                    |
     39 | Y XXXVIII     |        +37 |       (20415.717)                    |
     39 | Y XXXIX       |        +38 |       (21115.588)                    |
     40 | Zr I          |          0 |            6.634126                  |
     40 | Zr II         |         +1 |           13.13                      |
     40 | Zr III        |         +2 |          [23.170]                    |
     40 | Zr IV         |         +3 |           34.41836                   |
     40 | Zr V          |         +4 |          [80.348]                    |
     40 | Zr VI         |         +5 |          [96.38]                     |
     40 | Zr VII        |         +6 |         (112.0)                      |
     40 | Zr VIII       |         +7 |         [133.7]                      |
     40 | Zr IX         |         +8 |         (153.0)                      |
     40 | Zr X          |         +9 |         [172.02]                     |
     40 | Zr XI         |        +10 |         [214.9]                      |
     40 | Zr XII        |        +11 |          236.252                     |
     40 | Zr XIII       |        +12 |         (426)                        |
     40 | Zr XIV        |        +13 |         (470)                        |
     40 | Zr XV         |        +14 |         (520)                        |
     40 | Zr XVI        |        +15 |         (573)                        |
     40 | Zr XVII       |        +16 |         (622)                        |
     40 | Zr XVIII      |        +17 |         (690)                        |
     40 | Zr XIX        |        +18 |         (745)                        |
     40 | Zr XX         |        +19 |         (803)                        |
     40 | Zr XXI        |        +20 |         (863)                        |
     40 | Zr XXII       |        +21 |         (922)                        |
     40 | Zr XXIII      |        +22 |        [1092]                        |
     40 | Zr XXIV       |        +23 |        [1144.7]                      |
     40 | Zr XXV        |        +24 |        [1205.4]                      |
     40 | Zr XXVI       |        +25 |        [1277]                        |
     40 | Zr XXVII      |        +26 |        [1344]                        |
     40 | Zr XXVIII     |        +27 |        [1392]                        |
     40 | Zr XXIX       |        +28 |        [1525.1]                      |
     40 | Zr XXX        |        +29 |        [1582.37]                     |
     40 | Zr XXXI       |        +30 |        [3788.0]                      |
     40 | Zr XXXII      |        +31 |        [3950]                        |
     40 | Zr XXXIII     |        +32 |        [4127]                        |
     40 | Zr XXXIV      |        +33 |        [4300]                        |
     40 | Zr XXXV       |        +34 |        [4553]                        |
     40 | Zr XXXVI      |        +35 |        [4744]                        |
     40 | Zr XXXVII     |        +36 |        [4991]                        |
     40 | Zr XXXVIII    |        +37 |        (5146.935)                    |
     40 | Zr XXXIX      |        +38 |       (21516.469)                    |
     40 | Zr XL         |        +39 |       (22236.712)                    |
     41 | Nb I          |          0 |            6.75885                   |
     41 | Nb II         |         +1 |          [14.32]                     |
     41 | Nb III        |         +2 |          [25.04]                     |
     41 | Nb IV         |         +3 |           37.611                     |
     41 | Nb V          |         +4 |           50.5728                    |
     41 | Nb VI         |         +5 |         [102.069]                    |
     41 | Nb VII        |         +6 |          119.1                       |
     41 | Nb VIII       |         +7 |         (136.0)                      |
     41 | Nb IX         |         +8 |         [159.2]                      |
     41 | Nb X          |         +9 |         (180.0)                      |
     41 | Nb XI         |        +10 |         [200.28]                     |
     41 | Nb XII        |        +11 |         [246.1]                      |
     41 | Nb XIII       |        +12 |          268.59                      |
     41 | Nb XIV        |        +13 |         [482.5]                      |
     41 | Nb XV         |        +14 |         (530)                        |
     41 | Nb XVI        |        +15 |         (581)                        |
     41 | Nb XVII       |        +16 |         (636)                        |
     41 | Nb XVIII      |        +17 |         (688)                        |
     41 | Nb XIX        |        +18 |         (758)                        |
     41 | Nb XX         |        +19 |         (816)                        |
     41 | Nb XXI        |        +20 |         (877)                        |
     41 | Nb XXII       |        +21 |         (940)                        |
     41 | Nb XXIII      |        +22 |        (1000)                        |
     41 | Nb XXIV       |        +23 |        [1176]                        |
     41 | Nb XXV        |        +24 |        [1230.6]                      |
     41 | Nb XXVI       |        +25 |        [1293.7]                      |
     41 | Nb XXVII      |        +26 |        [1368]                        |
     41 | Nb XXVIII     |        +27 |        [1439]                        |
     41 | Nb XXIX       |        +28 |        [1488]                        |
     41 | Nb XXX        |        +29 |        [1625.9]                      |
     41 | Nb XXXI       |        +30 |        [1684.97]                     |
     41 | Nb XXXII      |        +31 |        [4020.1]                      |
     41 | Nb XXXIII     |        +32 |        [4187]                        |
     41 | Nb XXXIV      |        +33 |        [4369]                        |
     41 | Nb XXXV       |        +34 |        [4540]                        |
     41 | Nb XXXVI      |        +35 |        [4815]                        |
     41 | Nb XXXVII     |        +36 |        [5011]                        |
     41 | Nb XXXVIII    |        +37 |        [5265]                        |
     41 | Nb XXXIX      |        +38 |        (5426.066)                    |
     41 | Nb XL         |        +39 |       (22648.046)                    |
     41 | Nb XLI        |        +40 |       (23388.850)                    |
     42 | Mo I          |          0 |            7.09243                   |
     42 | Mo II         |         +1 |          [16.16]                     |
     42 | Mo III        |         +2 |          [27.13]                     |
     42 | Mo IV         |         +3 |          [40.33]                     |
     42 | Mo V          |         +4 |          [54.417]                    |
     42 | Mo VI         |         +5 |           68.82704                   |
     42 | Mo VII        |         +6 |         [125.638]                    |
     42 | Mo VIII       |         +7 |          143.6                       |
     42 | Mo IX         |         +8 |          164.12                      |
     42 | Mo X          |         +9 |         [186.3]                      |
     42 | Mo XI         |        +10 |         (209.3)                      |
     42 | Mo XII        |        +11 |         [230.28]                     |
     42 | Mo XIII       |        +12 |         [279.1]                      |
     42 | Mo XIV        |        +13 |          302.60                      |
     42 | Mo XV         |        +14 |         [544.0]                      |
     42 | Mo XVI        |        +15 |         (591)                        |
     42 | Mo XVII       |        +16 |         (646)                        |
     42 | Mo XVIII      |        +17 |         (702)                        |
     42 | Mo XIX        |        +18 |         (758)                        |
     42 | Mo XX         |        +19 |         (829)                        |
     42 | Mo XXI        |        +20 |         (890)                        |
     42 | Mo XXII       |        +21 |         (953)                        |
     42 | Mo XXIII      |        +22 |        (1019)                        |
     42 | Mo XXIV       |        +23 |        (1082)                        |
     42 | Mo XXV        |        +24 |        [1263]                        |
     42 | Mo XXVI       |        +25 |        [1319.6]                      |
     42 | Mo XXVII      |        +26 |        [1385.1]                      |
     42 | Mo XXVIII     |        +27 |        [1462]                        |
     42 | Mo XXIX       |        +28 |        [1537]                        |
     42 | Mo XXX        |        +29 |        [1587]                        |
     42 | Mo XXXI       |        +30 |        [1730.1]                      |
     42 | Mo XXXII      |        +31 |        [1790.93]                     |
     42 | Mo XXXIII     |        +32 |        [4259.0]                      |
     42 | Mo XXXIV      |        +33 |        [4430]                        |
     42 | Mo XXXV       |        +34 |        [4618]                        |
     42 | Mo XXXVI      |        +35 |        [4800]                        |
